Task_name,Input_data_size,Duration(s),maxExecutor,hibench.workload.datasize
wordcount_017,164245664115 ,356.682,10,160000000000 
wordcount_018,118256860065 ,145.439,23,115200000000 
wordcount_019,105117102396 ,222.655,10,102400000000 
wordcount_020,157675854941 ,359.391,11,153600000000 
wordcount_021,131396462895 ,323.163,11,128000000000 
wordcount_022,164245694815 ,347.193,10,160000000000 
wordcount_023,124826718537 ,166.938,11,121600000000 
wordcount_024,216804345949 ,206.464,24,211200000000 
wordcount_025,105117340719 ,810.222,3,102400000000 
wordcount_026,105117229915 ,817.715,3,102400000000 
wordcount_027,137966235676 ,452.207,10,134400000000 
wordcount_028,177385294437 ,219.318,23,172800000000 
wordcount_029,137966436768 ,438.709,10,134400000000 
wordcount_030,151106005151 ,337.551,11,147200000000 
wordcount_031,394189680946 ,173.523,70,384000000000 
wordcount_032,131396602163 ,168.083,23,128000000000 
wordcount_033,203664586392 ,314.825,21,198400000000 
wordcount_034,269362754334 ,183.671,27,262400000000 
wordcount_035,124826605561 ,333.526,8,121600000000 
wordcount_036,124826724995 ,246.68,15,121600000000 
wordcount_037,216804229857 ,333.037,20,211200000000 
wordcount_038,111687033161 ,658.252,4,108800000000 
wordcount_039,111687149874 ,236.174,15,108800000000 
wordcount_040,118256878325 ,150.697,19,115200000000 
wordcount_041,124826791805 ,143.41,64,121600000000 
wordcount_042,105117244623 ,194.994,14,102400000000 
wordcount_043,197094815933 ,310.319,22,192000000000 
wordcount_044,118256859126 ,326.685,9,115200000000 
wordcount_045,151105937640 ,391.241,9,147200000000 
wordcount_046,203664564841 ,210.607,29,198400000000 
wordcount_047,256223193977 ,244.557,25,249600000000 
wordcount_048,210234612010 ,155.004,29,204800000000 
wordcount_049,144536240374 ,469.278,7,140800000000 
wordcount_050,105117248183 ,964.665,3,102400000000 
wordcount_051,532155834144 ,208.827,78,518400000000 
wordcount_052,223374225041 ,255.939,21,217600000000 
wordcount_053,137966458307 ,292.557,15,134400000000 
wordcount_054,177385443501 ,247.116,19,172800000000 
wordcount_055,105117240883 ,336.219,6,102400000000 
wordcount_056,157675782153 ,198.097,19,153600000000 
wordcount_057,118256883104 ,142.517,28,115200000000 
wordcount_058,111687020783 ,900.36,4,108800000000 
wordcount_059,131396560559 ,237.553,13,128000000000 
wordcount_060,183955159773 ,370.28,18,179200000000 
wordcount_061,473027589294 ,354.727,60,460800000000 
wordcount_062,354770578579 ,237.361,50,345600000000 
wordcount_063,328491534954 ,263.205,57,320000000000 
wordcount_064,282502494283 ,145.981,66,275200000000 
wordcount_065,400759667792 ,282.828,57,390400000000 
wordcount_066,210234543609 ,185.055,42,204800000000 
wordcount_067,111687107529 ,165.147,36,108800000000 
wordcount_068,335061091626 ,360.878,36,326400000000 
wordcount_069,164245751628 ,600.932,10,160000000000 
wordcount_070,105117192888 ,173.24,16,102400000000 
wordcount_071,131396563508 ,573.049,6,128000000000 
wordcount_072,105117316707 ,192.625,24,102400000000 
wordcount_073,243083494778 ,288.91,24,236800000000 
wordcount_074,124826654401 ,172.186,32,121600000000 
wordcount_075,519016437458 ,287.792,72,505600000000 
wordcount_076,105117242604 ,71.286,60,102400000000 
wordcount_077,295642327183 ,290.231,33,288000000000 
wordcount_078,151106127110 ,172.171,24,147200000000 
wordcount_079,223374263052 ,216.739,24,217600000000 
wordcount_080,137966344466 ,436.783,9,134400000000 
wordcount_081,308782041466 ,250.521,80,300800000000 
wordcount_082,341630972937 ,339.08,40,332800000000 
wordcount_083,413899489588 ,269.837,48,403200000000 
wordcount_084,124826682903 ,194.198,20,121600000000 
wordcount_085,243083691777 ,151.823,72,236800000000 
wordcount_086,262793184530 ,198.845,48,256000000000 
wordcount_087,374480081615 ,199.91,52,364800000000 
wordcount_088,321921645624 ,219.026,42,313600000000 
wordcount_089,164245687002 ,251.112,18,160000000000 
wordcount_090,177385405304 ,364.977,16,172800000000 
wordcount_091,256223347002 ,282.751,33,249600000000 
wordcount_092,236513769385 ,196.185,48,230400000000 
wordcount_093,170815531911 ,129.168,52,166400000000 
wordcount_094,381050242491 ,244.97,54,371200000000 
wordcount_095,151106035362 ,429.585,12,147200000000 
wordcount_096,335061094964 ,296.592,45,326400000000 
wordcount_097,289072330841 ,307.567,40,281600000000 
wordcount_098,190525050025 ,205.878,42,185600000000 
wordcount_099,111687034334 ,392.112,12,108800000000 
wordcount_100,183955174540 ,235.462,35,179200000000 
wordcount_101,985474084713 ,206.704,200,960000000000 
wordcount_102,985473886998 ,198.318,200,960000000000 
wordcount_103,985474112849 ,119.524,1000,960000000000 
wordcount_104,985474207877 ,127.175,1000,960000000000 
wordcount_105,985473987648 ,131.395,1000,960000000000 
wordcount_001,52558607209 ,495.941,3,51200000000 
wordcount_002,656982696149 ,781.924,17,640000000000 
wordcount_003,52558679496 ,236.291,4,51200000000 
wordcount_004,223374200960 ,349.576,16,217600000000 
wordcount_005,262793076155 ,462.901,18,256000000000 
wordcount_006,262793206026 ,478.533,19,256000000000 
wordcount_007,656982781475 ,276.545,50,640000000000 
wordcount_008,91977600024 ,728.162,3,89600000000 
wordcount_009,656982533145 ,319.493,49,640000000000 
wordcount_010,151105987630 ,372.532,11,147200000000 
wordcount_011,137966562941 ,385.06,11,134400000000 
wordcount_012,144536222755 ,410.813,10,140800000000 
wordcount_013,144536162099 ,289.426,11,140800000000 
wordcount_014,164245657162 ,199.43,24,160000000000 
wordcount_015,111687159092 ,894.544,3,108800000000 
wordcount_016,111686963456 ,811.672,3,108800000000 
wordcount_017,164245664115 ,349.919,10,160000000000 
wordcount_018,118256860065 ,185.436,23,115200000000 
wordcount_019,105117102396 ,202.512,10,102400000000 
wordcount_020,157675854941 ,293.255,11,153600000000 
wordcount_021,131396632071 ,368.661,11,128000000000 
wordcount_022,164245700251 ,479.072,10,160000000000 
wordcount_023,124826779771 ,316.83,11,121600000000 
wordcount_024,216804216522 ,212.378,24,211200000000 
wordcount_025,105117224443 ,878.743,3,102400000000 
wordcount_026,105117376233 ,794.611,3,102400000000 
wordcount_027,137966398554 ,280.549,10,134400000000 
wordcount_028,177385293356 ,235.323,23,172800000000 
wordcount_029,137966450460 ,337.895,10,134400000000 
wordcount_030,151106080415 ,260.369,11,147200000000 
wordcount_031,394189625921 ,180.57,70,384000000000 
wordcount_032,131396603317 ,152.782,23,128000000000 
wordcount_033,203664620249 ,257.784,21,198400000000 
wordcount_034,269362793111 ,201.871,27,262400000000 
wordcount_035,124826661906 ,430.627,8,121600000000 
wordcount_036,124826660891 ,208.742,15,121600000000 
wordcount_037,216804393276 ,300.525,20,211200000000 
wordcount_038,111687110717 ,643.257,4,108800000000 
wordcount_039,111687107971 ,261.276,15,108800000000 
wordcount_040,118257097795 ,204.904,19,115200000000 
wordcount_041,124826783502 ,66.819,64,121600000000 
wordcount_042,105117338590 ,209.507,14,102400000000 
wordcount_043,197094967783 ,143.546,22,192000000000 
wordcount_044,118256942060 ,333.845,9,115200000000 
wordcount_045,151105987555 ,400.917,9,147200000000 
wordcount_046,203664665542 ,204.471,29,198400000000 
wordcount_047,256223326639 ,303.145,25,249600000000 
wordcount_048,210234511827 ,166.718,29,204800000000 
wordcount_049,144536377400 ,453.236,7,140800000000 
wordcount_050,105117259616 ,767.198,3,102400000000 
wordcount_051,532155871278 ,175.301,78,518400000000 
wordcount_052,223374197281 ,322.818,21,217600000000 
wordcount_053,137966303916 ,232.557,15,134400000000 
wordcount_054,177385304315 ,237.144,19,172800000000 
wordcount_055,105117352045 ,256.715,6,102400000000 
wordcount_056,157675917302 ,233.745,19,153600000000 
wordcount_057,118256972964 ,91.86,28,115200000000 
wordcount_058,111687041129 ,590.424,4,108800000000 
wordcount_059,131396561359 ,308.521,13,128000000000 
wordcount_060,183955042139 ,236.236,18,179200000000 
wordcount_061,473027802159 ,206.016,60,460800000000 
wordcount_062,354770918198 ,331.89,50,345600000000 
wordcount_063,328491447154 ,252.142,57,320000000000 
wordcount_064,282502725871 ,153.021,66,275200000000 
wordcount_065,400759226028 ,356.876,57,390400000000 
wordcount_066,210234456942 ,207.385,42,204800000000 
wordcount_067,111687007547 ,143.496,36,108800000000 
wordcount_068,335061510570 ,456.183,36,326400000000 
wordcount_069,164245644291 ,657.524,10,160000000000 
wordcount_070,105117269389 ,260.524,16,102400000000 
wordcount_071,131396621692 ,634.691,6,128000000000 
wordcount_072,105117264974 ,174.922,24,102400000000 
wordcount_073,243083552913 ,393.769,24,236800000000 
wordcount_074,124826725266 ,163.821,32,121600000000 
wordcount_075,519016485432 ,229.741,72,505600000000 
wordcount_076,105117331054 ,102.944,60,102400000000 
wordcount_077,295642258495 ,362.21,33,288000000000 
wordcount_078,151106031840 ,202.572,24,147200000000 
wordcount_079,223374289665 ,253.402,24,217600000000 
wordcount_080,137966285617 ,431.151,9,134400000000 
wordcount_081,308781847408 ,213.061,80,300800000000 
wordcount_082,341631159084 ,347.839,40,332800000000 
wordcount_083,413899054032 ,249.765,48,403200000000 
wordcount_084,124826575566 ,204.652,20,121600000000 
wordcount_085,243083477626 ,155.285,72,236800000000 
wordcount_086,262792818567 ,209.68,48,256000000000 
wordcount_087,374480181333 ,313.923,52,364800000000 
wordcount_088,321921601002 ,220.605,42,313600000000 
wordcount_089,164245702433 ,288.316,18,160000000000 
wordcount_090,177385269886 ,263.453,16,172800000000 
wordcount_091,256223365486 ,183.454,33,249600000000 
wordcount_092,236513863574 ,136.191,48,230400000000 
wordcount_093,170815501763 ,91.148,52,166400000000 
wordcount_094,381049988960 ,201.785,54,371200000000 
wordcount_095,151105987038 ,365.186,12,147200000000 
wordcount_096,335061392489 ,122.012,45,326400000000 
wordcount_097,289072260967 ,187.969,40,281600000000 
wordcount_098,190525021865 ,208.968,42,185600000000 
wordcount_099,111687228527 ,215.086,12,108800000000 
wordcount_100,183955074475 ,204.999,35,179200000000 
wordcount_101,985474188363 ,222.727,200,960000000000 
wordcount_102,985473886047 ,164.214,200,960000000000 
wordcount_103,985474121598 ,123.038,1000,960000000000 
wordcount_104,985474256506 ,132.506,1000,960000000000 
wordcount_105,985473921348 ,120.575,1000,960000000000 
wordcount_001,52558607209 ,459.794,3,51200000000 
wordcount_002,656982696149 ,785.507,17,640000000000 
wordcount_003,52558679496 ,258.599,4,51200000000 
wordcount_004,223374200960 ,317.327,16,217600000000 
wordcount_005,262793076155 ,430.965,18,256000000000 
wordcount_006,262793206026 ,415.696,19,256000000000 
wordcount_007,656982781475 ,322.159,50,640000000000 
wordcount_008,91977600024 ,882.175,3,89600000000 
wordcount_009,656982533145 ,325.457,49,640000000000 
wordcount_010,151105987630 ,400.37,11,147200000000 
wordcount_011,137966562941 ,318.521,11,134400000000 
wordcount_012,144536222755 ,408.781,10,140800000000 
wordcount_013,144536162099 ,385.832,11,140800000000 
