Task_name,Input_data_size,Duration(s),maxExecutor,hibench.lr.examples
lr_36,760115584,183.453,15,1900
lr_37,1320201072,148.673,20,3300
lr_38,440067424,156.013,4,1100
lr_39,680104752,186.47,15,1700
lr_40,720110168,144.187,19,1800
lr_41,760115584,176.558,64,1900
lr_42,640096920,122.994,14,1600
lr_43,1200182408,204.304,22,3000
lr_44,720110168,188.427,9,1800
lr_45,920139664,234.218,9,2300
lr_46,1240187824,211.139,29,3100
lr_47,1560235984,140.919,25,3900
lr_48,1280193240,250.843,29,3200
lr_49,880134248,259.82,7,2200
lr_50,440067424,194.95,3,1100
lr_51,3240490032,211.308,78,8100
lr_52,1360206488,210.915,21,3400
lr_53,840128832,151.347,15,2100
lr_54,1080163744,145.345,19,2700
lr_55,640096920,251.284,6,1600
lr_56,960145080,171.587,19,2400
lr_57,720110168,171.512,28,1800
lr_58,680104752,501.753,4,1700
lr_59,800121000,148.97,13,2000
lr_60,1120169160,158.107,18,2800
lr_61,2880434040,213.322,60,7200
lr_62,2160326888,236.88,50,5400
lr_63,2000302808,187.874,57,5000
lr_64,1720260064,235.184,66,4300
lr_65,2440369632,157.673,57,6100
lr_66,1280193240,133.657,42,3200
lr_67,680104752,176.566,36,1700
lr_68,2040308224,182.185,36,5100
lr_69,1200182408,225.035,10,3000
lr_70,640096920,121.839,16,1600
lr_71,800121000,214.792,6,2000
lr_72,640096920,151.56,24,1600
lr_73,1480225152,158.086,24,3700
lr_74,760115584,136.061,32,1900
lr_75,3160476784,180.92,72,7900
lr_76,640096920,170.368,60,1600
lr_77,1800273312,179.74,33,4500
lr_78,920139664,173.219,24,2300
lr_79,1360206488,161.693,24,3400
lr_80,840128832,219.442,9,2100
lr_81,1880284144,261.138,80,4700
lr_82,2080313640,183.279,40,5200
lr_83,2520380464,168.704,48,6300
lr_84,760115584,141.505,20,1900
lr_85,1480225152,205.154,72,3700
lr_86,1600241400,163.417,48,4000
lr_87,2280345552,166.902,52,5700
lr_88,1960297392,152.6,42,4900
lr_89,1000152912,163.642,18,2500
lr_90,1080163744,209.703,16,2700
lr_91,1560235984,152.086,33,3900
lr_92,1440217320,193.593,48,3600
lr_93,1040158328,224.166,52,2600
lr_94,2320350968,220.002,54,5800
lr_95,920139664,191.523,12,2300
lr_96,2040308224,209.41,45,5100
lr_97,1760265480,219.442,40,4400
lr_98,1160176992,149.577,42,2900
lr_99,680104752,191.814,12,1700
lr_100,1120169160,169.351,35,2800
lr_101,3600543608,207.842,200,9000
lr_102,6000904808,221.348,200,15000
lr_103,3600543608,270.565,1000,9000
lr_104,6000904808,279.841,1000,15000
lr_105,9601445400,495.212,1000,24000
lr_106,600091504,112.238,20,1500
lr_107,800121000,157.058,20,2000
lr_108,1000152912,140.056,20,2500
lr_109,1200182408,170.032,20,3000
lr_110,1400211904,193.727,20,3500
lr_111,1600241400,198.532,20,4000
lr_112,1800273312,224.831,20,4500
lr_113,2000302808,195.866,20,5000
lr_114,2200332304,234.837,20,5500
lr_115,2400361800,272.11,20,6000
lr_116,200152912,100.475,20,2500
lr_117,400152912,209.969,20,2500
lr_118,600152912,153.497,20,2500
lr_119,800152912,147.92,20,2500
lr_120,1000152912,111.172,20,2500
lr_121,1200152912,152.966,20,2500
lr_122,1400152912,190.134,20,2500
lr_123,1600152912,305.165,20,2500
lr_124,1800152912,187.763,20,2500
lr_125,2000152912,291.163,20,2500
lr_126,1000152912,299.834,5,2500
lr_127,1000152912,219.107,10,2500
lr_128,1000152912,174.609,15,2500
lr_129,1000152912,127.838,20,2500
lr_130,1000152912,410.318,25,2500
lr_131,1000152912,139.143,30,2500
lr_132,1000152912,215.973,35,2500
lr_133,1000152912,144.21,40,2500
lr_134,1000152912,160.845,45,2500
lr_135,1000152912,222.367,50,2500
lr_1,320048760,162.902,3,800
lr_2,4000602600,442.797,17,10000
lr_3,320048760,174.24,4,800
lr_4,1360206488,282.357,16,3400
lr_5,1600241400,231.723,18,4000
lr_6,1600241400,208.981,19,4000
lr_7,4000602600,281.356,50,10000
lr_8,560086088,302.734,3,1400
lr_9,4000602600,233.028,49,10000
lr_10,920139664,235.234,11,2300
lr_11,840128832,170.024,11,2100
lr_12,880134248,207.005,10,2200
lr_13,880134248,139.905,11,2200
lr_14,1000152912,145.401,24,2500
lr_15,680104752,326.204,3,1700
lr_16,560086088,282.703,3,1400
lr_17,1000152912,269.855,10,2500
lr_18,720110168,164.14,23,1800
lr_19,640096920,148.447,10,1600
lr_20,960145080,195.689,11,2400
lr_21,800121000,140.935,11,2000
lr_22,520080672,131.42,10,1300
lr_23,760115584,175.125,11,1900
lr_24,1320201072,158.957,24,3300
lr_25,640096920,249.482,3,1600
lr_26,200032512,117.198,3,500
lr_27,840128832,162.34,10,2100
lr_28,1080163744,163.261,23,2700
lr_29,480072840,142.86,10,1200
lr_30,640096920,170.37,11,1600
lr_31,2400361800,157.975,70,6000
lr_32,800121000,138.871,23,2000
lr_33,1240187824,153.387,21,3100
lr_34,1640249232,156.391,27,4100
