Task_name,Input_data_size,Duration(s),maxExecutor,hibench.pca.examples
pca_all_066,16167245400,203.961,42,672000
pca_all_067,16455946200,236.776,36,684000
pca_all_068,14723741400,224.162,36,612000
pca_all_069,4811680600,244.309,10,200000
pca_all_070,6543885400,243.031,16,272000
pca_all_071,2020906200,231.206,6,84000
pca_all_072,7506221400,215.167,24,312000
pca_all_073,9815827800,250.427,24,408000
pca_all_074,8468557400,221.7,32,352000
pca_all_075,25983072600,223.954,72,1080000
pca_all_076,25983072600,247.916,60,1080000
pca_all_077,11908909736,221.051,33,495000
pca_all_078,6928819800,206.649,24,288000
pca_all_079,10970631000,223.861,24,456000
pca_all_080,2598307800,194.133,9,108000
pca_all_081,30794752600,213.917,80,1280000
pca_all_082,14435040600,225.645,40,600000
pca_all_083,12702835800,204.777,48,528000
pca_all_084,7698688600,222.303,20,320000
pca_all_085,34644096600,264.877,72,1440000
pca_all_086,21941261400,275.756,48,912000
pca_all_087,18765552600,229.008,52,780000
pca_all_088,17177698200,255.244,42,714000
pca_all_089,8661024600,288.811,18,360000
pca_all_090,5004147800,206.096,16,208000
pca_all_091,10321055336,214.085,33,429000
pca_all_092,15012442200,210.586,48,624000
pca_all_093,17514515800,199.861,52,728000
pca_all_094,20786458200,253.431,54,864000
pca_all_095,4907914200,233.128,12,204000
pca_all_096,20569933736,231.691,45,855000
pca_all_097,16359712600,238.429,40,680000
pca_all_098,20209056600,267.675,42,840000
pca_all_099,4619213400,211.215,12,192000
pca_all_100,14314749736,215.648,35,595000
pca_all_101,72175200600,206.739,200,3000000
pca_all_102,144350400600,344.903,200,6000000
pca_all_103,144350400600,231.638,1000,6000000
pca_all_104,288700800600,285.996,1000,12000000
pca_all_105,433051200600,308.319,1000,18000000
pca_all_106,2405840600,180.346,20,100000
pca_all_107,4811680600,170.137,20,200000
pca_all_108,7217520600,221.774,20,300000
pca_all_109,9623360600,253.711,20,400000
pca_all_110,12029200600,238.203,20,500000
pca_all_111,14435040600,312.661,20,600000
pca_all_112,16840880600,506.362,20,700000
pca_all_113,19246720600,412.959,20,800000
pca_all_114,21652560600,394.49,20,900000
pca_all_115,24058400600,332.082,20,1000000
pca_all_116,12029200600,577.177,5,500000
pca_all_117,12029200600,365.907,10,500000
pca_all_118,12029200600,481.244,15,500000
pca_all_119,12029200600,227.652,20,500000
pca_all_120,12029200600,258.138,25,500000
pca_all_121,12029200600,232.711,30,500000
pca_all_122,12029200600,258.235,35,500000
pca_all_123,12029200600,214.695,40,500000
pca_all_124,12029200600,186.008,45,500000
pca_all_125,12029200600,198.674,50,500000
pca_all_001,1443504600,208.319,3,60000
pca_all_002,8179856600,255.818,17,340000
pca_all_003,1924672600,223.322,4,80000
pca_all_004,7698688600,224.618,16,320000
pca_all_005,8661024600,225.139,18,360000
pca_all_006,9142192600,217.04,19,380000
pca_all_007,24058400600,248.968,50,1000000
pca_all_008,1443504600,239.469,3,60000
pca_all_009,23577232600,235.739,49,980000
pca_all_010,5292848600,221.714,11,220000
pca_all_011,3969637736,222.684,11,165000
pca_all_012,3849344600,237.78,10,160000
pca_all_013,3440352936,211.153,11,143000
pca_all_014,10393229400,248.235,24,432000
pca_all_015,1371330536,206.213,3,57000
pca_all_016,1010453400,222.526,3,42000
pca_all_017,2646424600,174.751,10,110000
pca_all_018,9960178200,251.931,23,414000
pca_all_019,3608760600,229.322,10,150000
pca_all_020,2911068136,195.32,11,121000
pca_all_021,4498922536,234.459,11,187000
pca_all_022,3849344600,246.462,10,160000
pca_all_023,3704994200,226.556,11,154000
pca_all_024,10970631000,190.726,24,456000
pca_all_025,1082629736,188.214,3,45000
pca_all_026,793928936,193.555,3,33000
pca_all_027,3127592600,207.178,10,130000
pca_all_028,7746805400,256.494,23,322000
pca_all_029,4089928600,227.464,10,170000
pca_all_030,5292848600,250.806,11,220000
pca_all_031,31997672600,243.057,70,1330000
pca_all_032,11066864600,215.107,23,460000
pca_all_033,7578397736,217.028,21,315000
pca_all_034,7794922200,205.523,27,324000
pca_all_035,2502074200,193.681,8,104000
pca_all_036,6856645736,244.526,15,285000
pca_all_037,5292848600,193.958,20,220000
pca_all_038,1828439000,192.345,4,76000
pca_all_039,7217520600,214.838,15,300000
pca_all_040,7313754200,217.32,19,304000
pca_all_041,20016589400,223.409,64,832000
pca_all_042,4378629400,195.973,14,182000
pca_all_043,8997842200,221.877,22,374000
pca_all_044,2598307800,205.196,9,108000
pca_all_045,2381783336,168.824,9,99000
pca_all_046,13953872600,213.146,29,580000
pca_all_047,7217520600,215.515,25,300000
pca_all_048,13256180136,250.047,29,551000
pca_all_049,3199768936,239.006,7,133000
pca_all_050,1226980136,237.708,3,51000
pca_all_051,35654549400,240.513,78,1482000
pca_all_052,9094075800,241.011,21,378000
pca_all_053,7217520600,233.123,15,300000
pca_all_054,6399535000,217.763,19,266000
pca_all_055,2309607000,184.318,6,96000
pca_all_056,9142192600,246.368,19,380000
pca_all_057,10778163800,231.379,28,448000
pca_all_058,1154803800,199.714,4,48000
pca_all_059,4065871336,218.904,13,169000
pca_all_060,8227973400,251.033,18,342000
pca_all_061,21652560600,227.202,60,900000
pca_all_062,21652560600,236.532,50,900000
pca_all_063,17827276136,188.804,57,741000
pca_all_064,31757088600,257.75,66,1320000
pca_all_065,20569933736,235.632,57,855000
pca_all_066,16167245400,210.235,42,672000
pca_all_067,16455946200,212.498,36,684000
pca_all_068,14723741400,213.897,36,612000
pca_all_069,4811680600,240.746,10,200000
pca_all_070,6543885400,254.361,16,272000
pca_all_071,2020906200,218.59,6,84000
pca_all_072,7506221400,194.302,24,312000
pca_all_073,9815827800,220.948,24,408000
pca_all_074,8468557400,205.539,32,352000
pca_all_075,25983072600,195.469,72,1080000
pca_all_076,25983072600,242.965,60,1080000
pca_all_077,11908909736,245.556,33,495000
pca_all_078,6928819800,185.4,24,288000
pca_all_079,10970631000,238.937,24,456000
pca_all_080,2598307800,209.634,9,108000
pca_all_081,30794752600,236.524,80,1280000
pca_all_082,14435040600,216.28,40,600000
pca_all_083,12702835800,183.998,48,528000
pca_all_084,7698688600,233.731,20,320000
pca_all_085,34644096600,251.849,72,1440000
pca_all_086,21941261400,247.71,48,912000
pca_all_087,18765552600,223.627,52,780000
pca_all_088,17177698200,196.623,42,714000
pca_all_089,8661024600,257.288,18,360000
pca_all_090,5004147800,200.967,16,208000
pca_all_091,10321055336,204.162,33,429000
pca_all_092,15012442200,210.195,48,624000
pca_all_093,17514515800,217.349,52,728000
pca_all_094,20786458200,248.288,54,864000
pca_all_095,4907914200,243.186,12,204000
pca_all_096,20569933736,257.815,45,855000
pca_all_097,16359712600,223.604,40,680000
pca_all_098,20209056600,239.911,42,840000
pca_all_099,4619213400,201.765,12,192000
pca_all_100,14314749736,258.051,35,595000
pca_all_101,72175200600,231.236,200,3000000
pca_all_102,144350400600,378.007,200,6000000
pca_all_103,144350400600,249.999,1000,6000000
pca_all_104,288700800600,272.21,1000,12000000
pca_all_105,433051200600,369.906,1000,18000000
pca_all_106,2405840600,221.463,20,100000
pca_all_107,4811680600,237.112,20,200000
pca_all_108,7217520600,266.396,20,300000
pca_all_109,9623360600,283.364,20,400000
pca_all_110,12029200600,267.435,20,500000
pca_all_111,14435040600,308.173,20,600000
pca_all_112,16840880600,369.737,20,700000
pca_all_113,19246720600,387.14,20,800000
pca_all_114,21652560600,418.036,20,900000
pca_all_115,24058400600,407.635,20,1000000
pca_all_116,12029200600,554.078,5,500000
pca_all_117,12029200600,386.739,10,500000
pca_all_118,12029200600,352.752,15,500000
pca_all_119,12029200600,291.491,20,500000
pca_all_120,12029200600,260.731,25,500000
pca_all_121,12029200600,247.539,30,500000
pca_all_122,12029200600,253.436,35,500000
pca_all_123,12029200600,220.064,40,500000
pca_all_124,12029200600,199.199,45,500000
pca_all_125,12029200600,188.618,50,500000
pca_all_001,1443504600,247.051,3,60000
pca_all_002,8179856600,276.235,17,340000
pca_all_003,1924672600,224.245,4,80000
pca_all_004,7698688600,258.668,16,320000
pca_all_005,8661024600,226.081,18,360000
pca_all_006,9142192600,263.171,19,380000
pca_all_007,24058400600,256.621,50,1000000
pca_all_008,1443504600,213.311,3,60000
pca_all_009,23577232600,286.047,49,980000
pca_all_010,5292848600,233.069,11,220000
pca_all_011,3969637736,272.681,11,165000
pca_all_012,3849344600,261.738,10,160000
pca_all_013,3440352936,226.213,11,143000
pca_all_014,10393229400,270.821,24,432000
pca_all_015,1371330536,204.204,3,57000
pca_all_016,1010453400,238.517,3,42000
pca_all_017,2646424600,206.032,10,110000
pca_all_018,9960178200,241.858,23,414000
pca_all_019,3608760600,229.923,10,150000
pca_all_020,2911068136,220.457,11,121000
pca_all_021,4498922536,222.609,11,187000
pca_all_022,3849344600,250.214,10,160000
pca_all_023,3704994200,214.364,11,154000
pca_all_024,10970631000,241.695,24,456000
pca_all_025,1082629736,249.371,3,45000
pca_all_026,793928936,167.212,3,33000
pca_all_027,3127592600,221.165,10,130000
pca_all_028,7746805400,228.332,23,322000
pca_all_029,4089928600,206.617,10,170000
pca_all_030,5292848600,259.191,11,220000
pca_all_031,31997672600,257.33,70,1330000
pca_all_032,11066864600,265.02,23,460000
pca_all_033,7578397736,234.94,21,315000
pca_all_034,7794922200,246.002,27,324000
pca_all_035,2502074200,203.151,8,104000
pca_all_036,6856645736,248.648,15,285000
pca_all_037,5292848600,202.011,20,220000
pca_all_038,1828439000,256.222,4,76000
pca_all_039,7217520600,235.021,15,300000
pca_all_040,7313754200,234.174,19,304000
pca_all_041,20016589400,220.953,64,832000
pca_all_042,4378629400,225.354,14,182000
pca_all_043,8997842200,220.806,22,374000
pca_all_044,2598307800,203.588,9,108000
pca_all_045,2381783336,207.563,9,99000
pca_all_046,13953872600,276.328,29,580000
pca_all_047,7217520600,252.839,25,300000
pca_all_048,13256180136,304.029,29,551000
pca_all_049,3199768936,227.089,7,133000
pca_all_050,1226980136,249.307,3,51000
pca_all_051,35654549400,306.779,78,1482000
pca_all_052,9094075800,258.687,21,378000
pca_all_053,7217520600,311.223,15,300000
pca_all_054,6399535000,261.476,19,266000
pca_all_055,2309607000,219.089,6,96000
pca_all_056,9142192600,301.053,19,380000
pca_all_057,10778163800,258.403,28,448000
pca_all_058,1154803800,275.974,4,48000
pca_all_059,4065871336,261.865,13,169000
pca_all_060,8227973400,276.493,18,342000
pca_all_061,21652560600,236.874,60,900000
pca_all_062,21652560600,288.389,50,900000
pca_all_063,17827276136,235.95,57,741000
pca_all_064,31757088600,280.971,66,1320000
pca_all_065,20569933736,239.653,57,855000
pca_all_066,16167245400,240.352,42,672000
pca_all_067,16455946200,251.526,36,684000
pca_all_068,14723741400,271.076,36,612000
pca_all_069,4811680600,289.854,10,200000
pca_all_070,6543885400,232.855,16,272000
pca_all_071,2020906200,227.975,6,84000
pca_all_072,7506221400,215.146,24,312000
pca_all_073,9815827800,260.194,24,408000
pca_all_074,8468557400,209.013,32,352000
pca_all_075,25983072600,234.583,72,1080000
pca_all_076,25983072600,263.933,60,1080000
pca_all_077,11908909736,238.459,33,495000
pca_all_078,6928819800,210.188,24,288000
pca_all_079,10970631000,259.922,24,456000
pca_all_080,2598307800,219.399,9,108000
pca_all_081,30794752600,225.159,80,1280000
pca_all_082,14435040600,244.237,40,600000
pca_all_083,12702835800,214.947,48,528000
pca_all_084,7698688600,234.93,20,320000
pca_all_085,34644096600,259.74,72,1440000
pca_all_086,21941261400,271.914,48,912000
pca_all_087,18765552600,227.202,52,780000
pca_all_088,17177698200,267.662,42,714000
pca_all_089,8661024600,231.089,18,360000
pca_all_090,5004147800,226.849,16,208000
pca_all_091,10321055336,216.563,33,429000
pca_all_092,15012442200,212.461,48,624000
pca_all_093,17514515800,225.578,52,728000
pca_all_094,20786458200,233.115,54,864000
pca_all_095,4907914200,232.814,12,204000
pca_all_096,20569933736,244.899,45,855000
pca_all_097,16359712600,211.776,40,680000
pca_all_098,20209056600,271.617,42,840000
pca_all_099,4619213400,238.411,12,192000
pca_all_100,14314749736,237.684,35,595000
pca_all_101,72175200600,201.8,200,3000000
pca_all_102,144350400600,310.201,200,6000000
pca_all_103,144350400600,222.304,1000,6000000
pca_all_104,288700800600,260.92,1000,12000000
pca_all_105,433051200600,292.991,1000,18000000
pca_all_106,2405840600,167.37,20,100000
pca_all_107,4811680600,184.399,20,200000
pca_all_108,7217520600,198.31,20,300000
pca_all_109,9623360600,272.297,20,400000
pca_all_110,12029200600,265.908,20,500000
pca_all_111,14435040600,324.895,20,600000
pca_all_112,16840880600,349.759,20,700000
pca_all_113,19246720600,353.895,20,800000
pca_all_114,21652560600,361.698,20,900000
pca_all_115,24058400600,304.139,20,1000000
pca_all_116,12029200600,699.841,5,500000
pca_all_117,12029200600,472.954,10,500000
pca_all_118,12029200600,341.951,15,500000
pca_all_119,12029200600,270.277,20,500000
pca_all_120,12029200600,248.447,25,500000
pca_all_121,12029200600,293.504,30,500000
pca_all_122,12029200600,249.626,35,500000
pca_all_123,12029200600,214.617,40,500000
pca_all_124,12029200600,206.798,45,500000
pca_all_125,12029200600,220.198,50,500000
pca_all_001,1443504600,315.437,3,60000
pca_all_002,8179856600,292.716,17,340000
pca_all_003,1924672600,238.714,4,80000
pca_all_004,7698688600,303.887,16,320000
pca_all_005,8661024600,271.083,18,360000
pca_all_006,9142192600,282.165,19,380000
pca_all_007,24058400600,317.71,50,1000000
pca_all_008,1443504600,303.504,3,60000
pca_all_009,23577232600,268.032,49,980000
pca_all_010,5292848600,283.384,11,220000
pca_all_011,3969637736,251.687,11,165000
pca_all_012,3849344600,250.808,10,160000
pca_all_013,3440352936,203.178,11,143000
pca_all_014,10393229400,251.312,24,432000
pca_all_015,1371330536,261.786,3,57000
pca_all_016,1010453400,260.769,3,42000
pca_all_017,2646424600,228.794,10,110000
pca_all_018,9960178200,254.644,23,414000
pca_all_019,3608760600,215.64,10,150000
pca_all_020,2911068136,235.509,11,121000
pca_all_021,4498922536,256.613,11,187000
pca_all_022,3849344600,253.884,10,160000
pca_all_023,3704994200,222.074,11,154000
pca_all_024,10970631000,275.176,24,456000
pca_all_025,1082629736,197.349,3,45000
pca_all_026,793928936,214.458,3,33000
pca_all_027,3127592600,244.133,10,130000
pca_all_028,7746805400,228.971,23,322000
pca_all_029,4089928600,253.453,10,170000
pca_all_030,5292848600,241.645,11,220000
pca_all_031,31997672600,274.075,70,1330000
pca_all_032,11066864600,263.584,23,460000
pca_all_033,7578397736,235.013,21,315000
pca_all_034,7794922200,201.314,27,324000
pca_all_035,2502074200,212.469,8,104000
pca_all_036,6856645736,256.975,15,285000
pca_all_037,5292848600,219.622,20,220000
pca_all_038,1828439000,245.433,4,76000
pca_all_039,7217520600,278.343,15,300000
pca_all_040,7313754200,236.169,19,304000
pca_all_041,20016589400,223.902,64,832000
pca_all_042,4378629400,221.763,14,182000
pca_all_043,8997842200,251.107,22,374000
pca_all_044,2598307800,225.595,9,108000
pca_all_045,2381783336,191.58,9,99000
pca_all_046,13953872600,263.903,29,580000
pca_all_047,7217520600,209.003,25,300000
pca_all_048,13256180136,248.72,29,551000
pca_all_049,3199768936,245.489,7,133000
pca_all_050,1226980136,246.756,3,51000
pca_all_051,35654549400,261.535,78,1482000
pca_all_052,9094075800,236.19,21,378000
pca_all_053,7217520600,292.299,15,300000
pca_all_054,6399535000,251.646,19,266000
pca_all_055,2309607000,236.563,6,96000
pca_all_056,9142192600,261.889,19,380000
pca_all_057,10778163800,240.543,28,448000
pca_all_058,1154803800,213.068,4,48000
pca_all_059,4065871336,203.363,13,169000
pca_all_060,8227973400,264.061,18,342000
pca_all_061,21652560600,237.714,60,900000
pca_all_062,21652560600,238.962,50,900000
pca_all_063,17827276136,212.859,57,741000
pca_all_064,31757088600,259.269,66,1320000
pca_all_065,20569933736,230.773,57,855000
pca_all_066,16167245400,268.005,42,672000
pca_all_067,16455946200,234.862,36,684000
pca_all_068,14723741400,254.536,36,612000
pca_all_069,4811680600,278.068,10,200000
pca_all_070,6543885400,266.222,16,272000
pca_all_071,2020906200,225.667,6,84000
pca_all_072,7506221400,259.53,24,312000
pca_all_073,9815827800,213.776,24,408000
pca_all_074,8468557400,192.84,32,352000
pca_all_075,25983072600,219.528,72,1080000
pca_all_076,25983072600,270.445,60,1080000
pca_all_077,11908909736,253.662,33,495000
pca_all_078,6928819800,236.486,24,288000
pca_all_079,10970631000,228.985,24,456000
pca_all_080,2598307800,247.969,9,108000
pca_all_081,30794752600,264.875,80,1280000
pca_all_082,14435040600,258.487,40,600000
pca_all_083,12702835800,221.01,48,528000
pca_all_084,7698688600,259.444,20,320000
pca_all_085,34644096600,278.775,72,1440000
pca_all_086,21941261400,273.823,48,912000
pca_all_087,18765552600,266.734,52,780000
pca_all_088,17177698200,285.183,42,714000
pca_all_089,8661024600,290.033,18,360000
pca_all_090,5004147800,256.042,16,208000
pca_all_091,10321055336,238.782,33,429000
pca_all_092,15012442200,253.093,48,624000
pca_all_093,17514515800,255.295,52,728000
pca_all_094,20786458200,256.291,54,864000
pca_all_095,4907914200,299.493,12,204000
pca_all_096,20569933736,275.09,45,855000
pca_all_097,16359712600,298.343,40,680000
pca_all_098,20209056600,273.017,42,840000
pca_all_099,4619213400,226.646,12,192000
pca_all_100,14314749736,255.562,35,595000
pca_all_101,72175200600,223.823,200,3000000
pca_all_102,144350400600,353.962,200,6000000
pca_all_103,144350400600,235.81,1000,6000000
pca_all_104,288700800600,294.091,1000,12000000
pca_all_105,433051200600,339.364,1000,18000000
pca_all_106,2405840600,205.843,20,100000
pca_all_107,4811680600,239.291,20,200000
pca_all_108,7217520600,255.173,20,300000
pca_all_109,9623360600,305.101,20,400000
pca_all_110,12029200600,308.152,20,500000
pca_all_111,14435040600,304.881,20,600000
pca_all_112,16840880600,357.963,20,700000
pca_all_113,19246720600,375.781,20,800000
pca_all_114,21652560600,432.15,20,900000
pca_all_115,24058400600,460.465,20,1000000
pca_all_116,12029200600,526.674,5,500000
pca_all_117,12029200600,411.279,10,500000
pca_all_118,12029200600,327.752,15,500000
pca_all_119,12029200600,321.687,20,500000
pca_all_120,12029200600,289.578,25,500000
pca_all_121,12029200600,264.104,30,500000
pca_all_122,12029200600,256.314,35,500000
pca_all_123,12029200600,228.252,40,500000
pca_all_124,12029200600,225.198,45,500000
pca_all_125,12029200600,238.109,50,500000
