Task_name,Input_data_size,Duration(s),maxExecutor,hibench.pca.examples
pca_all_001,1443504600,235.31,3,60000
pca_all_002,8179120600,160.022,17,340000
pca_all_003,1924672600,235.516,4,80000
pca_all_004,7698688600,243.827,16,320000
pca_all_005,8660880600,279.725,18,360000
pca_all_006,9142192600,283.735,19,380000
pca_all_007,24058400600,200.365,50,1000000
pca_all_008,1443504600,213.287,3,60000
pca_all_009,23577232600,248.779,49,980000
pca_all_010,5292848600,281.123,11,220000
pca_all_011,3969637736,253.84,11,165000
pca_all_012,3849344600,185.894,10,160000
pca_all_013,3440352936,224.672,11,143000
pca_all_014,10393229400,229.327,24,432000
pca_all_015,1371330536,225.433,3,57000
pca_all_016,1010453400,278.697,3,42000
pca_all_017,2646424600,199.349,10,110000
pca_all_018,9960178200,243.086,23,414000
pca_all_019,3608760600,271.746,10,150000
pca_all_020,2911068136,212.066,11,121000
pca_all_021,4498922536,245.453,11,187000
pca_all_022,3849344600,259.124,10,160000
pca_all_023,3704994200,226.209,11,154000
pca_all_024,10970631000,234.644,24,456000
pca_all_025,1082629736,193.789,3,45000
pca_all_026,793928936,169.103,3,33000
pca_all_027,3127592600,228.107,10,130000
pca_all_028,7746805400,259.055,23,322000
pca_all_029,4089928600,238.646,10,170000
pca_all_030,5292848600,230.287,11,220000
pca_all_031,31997672600,225.231,70,1330000
pca_all_032,11066864600,260.733,23,460000
pca_all_033,7578397736,216.214,21,315000
pca_all_034,7794922200,219.585,27,324000
pca_all_035,2502074200,191.807,8,104000
pca_all_036,6856645736,257.877,15,285000
pca_all_037,5292848600,249.497,20,220000
pca_all_038,1828439000,183.157,4,76000
pca_all_039,7217520600,255.506,15,300000
pca_all_040,7313754200,228.71,19,304000
pca_all_041,20016589400,220.691,64,832000
pca_all_042,4378629400,205.28,14,182000
pca_all_043,8997842200,225.817,22,374000
pca_all_044,2598307800,207.635,9,108000
pca_all_045,2381783336,199.149,9,99000
pca_all_046,13953872600,233.202,29,580000
pca_all_047,7217520600,213.611,25,300000
pca_all_048,13256180136,251.899,29,551000
pca_all_049,3199768936,263.301,7,133000
pca_all_050,1226980136,244.567,3,51000
pca_all_051,35654549400,259.272,78,1482000
pca_all_052,9094075800,200.4,21,378000
pca_all_053,7217520600,251.828,15,300000
pca_all_054,6399535000,194.31,19,266000
pca_all_055,2309607000,314.246,6,96000
pca_all_056,9142192600,217.571,19,380000
pca_all_057,10778163800,217.144,28,448000
pca_all_058,1154803800,182.131,4,48000
pca_all_059,4065871336,215.063,13,169000
pca_all_060,8227973400,259.41,18,342000
pca_all_061,21652560600,247.035,60,900000
pca_all_062,21652560600,242.399,50,900000
pca_all_063,17827276136,185.235,57,741000
pca_all_064,31757088600,250.916,66,1320000
pca_all_065,20569933736,224.671,57,855000
pca_all_066,16167245400,250.863,42,672000
pca_all_067,16455946200,247.15,36,684000
pca_all_068,14723741400,239.808,36,612000
pca_all_069,4811680600,237.85,10,200000
pca_all_070,6543885400,185.103,16,272000
pca_all_071,2020906200,222.844,6,84000
pca_all_072,7506221400,218.102,24,312000
pca_all_073,9815827800,248.532,24,408000
pca_all_074,8468557400,190.597,32,352000
pca_all_075,25983072600,238.972,72,1080000
pca_all_076,25983072600,236.684,60,1080000
pca_all_077,11908909736,224.266,33,495000
pca_all_078,6928819800,196.729,24,288000
pca_all_079,10970631000,213.591,24,456000
pca_all_080,2598307800,178.56,9,108000
pca_all_081,30794752600,209.061,80,1280000
pca_all_082,14435040600,234.261,40,600000
pca_all_083,12702835800,207.13,48,528000
pca_all_084,7698688600,220.026,20,320000
pca_all_085,34644096600,254.834,72,1440000
pca_all_086,21941261400,244.329,48,912000
pca_all_087,18765552600,201.597,52,780000
pca_all_088,17177698200,212.059,42,714000
pca_all_089,8661024600,242.21,18,360000
pca_all_090,5004147800,196.974,16,208000
pca_all_091,10321055336,187.325,33,429000
pca_all_092,15012442200,233.511,48,624000
pca_all_093,17514515800,230.323,52,728000
pca_all_094,20786458200,232.361,54,864000
pca_all_095,4907914200,223.497,12,204000
pca_all_096,20569933736,237.873,45,855000
pca_all_097,16359712600,230.409,40,680000
pca_all_098,20209056600,259.974,42,840000
pca_all_099,4619213400,277.967,12,192000
pca_all_100,14314749736,223.179,35,595000
pca_all_101,72175200600,203.154,200,3000000
pca_all_102,144350400600,275.564,200,6000000
pca_all_103,144350400600,220.295,1000,6000000
pca_all_104,288700800600,259.928,1000,12000000
pca_all_105,433051200600,275.67,1000,18000000
pca_all_106,2405840600,186.475,20,100000
pca_all_107,4811680600,204.854,20,200000
pca_all_108,7217520600,194.379,20,300000
pca_all_109,9623360600,344.074,20,400000
pca_all_110,12029200600,275.245,20,500000
pca_all_111,14435040600,258.78,20,600000
pca_all_112,16840880600,333.161,20,700000
pca_all_113,19246720600,255.425,20,800000
pca_all_114,21652560600,296.756,20,900000
pca_all_115,24058400600,402.541,20,1000000
pca_all_116,12029200600,713.718,5,500000
pca_all_117,12029200600,409.281,10,500000
pca_all_118,12029200600,305.708,15,500000
pca_all_119,12029200600,263.352,20,500000
pca_all_120,12029200600,243.217,25,500000
pca_all_121,12029200600,199.763,30,500000
pca_all_122,12029200600,235.509,35,500000
pca_all_123,12029200600,206.574,40,500000
pca_all_124,12029200600,231.136,45,500000
pca_all_125,12029200600,193.218,50,500000
pca_all_001,1443504600,248.647,3,60000
pca_all_002,8179856600,298.803,17,340000
pca_all_003,1924672600,317.536,4,80000
pca_all_004,7698688600,288.01,16,320000
pca_all_005,8661024600,287.338,18,360000
pca_all_006,9142192600,276.373,19,380000
pca_all_007,24058400600,252.167,50,1000000
pca_all_008,1443504600,269.026,3,60000
pca_all_009,23577232600,261.625,49,980000
pca_all_010,5292848600,221.12,11,220000
pca_all_011,3969637736,255.05,11,165000
pca_all_012,3849344600,203.98,10,160000
pca_all_013,3440352936,233.866,11,143000
pca_all_014,10393229400,247.061,24,432000
pca_all_015,1371330536,238.82,3,57000
pca_all_016,1010453400,221.4,3,42000
pca_all_017,2646424600,205.756,10,110000
pca_all_018,9960178200,254.908,23,414000
pca_all_019,3608760600,220.421,10,150000
pca_all_020,2911068136,260.575,11,121000
pca_all_021,4498922536,254.228,11,187000
pca_all_022,3849344600,238.717,10,160000
pca_all_023,3704994200,210.943,11,154000
pca_all_024,10970631000,239.482,24,456000
pca_all_025,1082629736,217.126,3,45000
pca_all_026,793928936,179.15,3,33000
pca_all_027,3127592600,225.607,10,130000
pca_all_028,7746805400,251.714,23,322000
pca_all_029,4089928600,265.518,10,170000
pca_all_030,5292848600,261.522,11,220000
pca_all_031,31997672600,269.317,70,1330000
pca_all_032,11066864600,285.364,23,460000
pca_all_033,7578397736,237.049,21,315000
pca_all_034,7794922200,224.427,27,324000
pca_all_035,2502074200,215.288,8,104000
pca_all_036,6856645736,253.677,15,285000
pca_all_037,5292848600,205.952,20,220000
pca_all_038,1828439000,216.841,4,76000
pca_all_039,7217520600,222.817,15,300000
pca_all_040,7313754200,237.068,19,304000
pca_all_041,20016589400,239.218,64,832000
pca_all_042,4378629400,205.897,14,182000
pca_all_043,8997842200,240.511,22,374000
pca_all_044,2598307800,207.585,9,108000
pca_all_045,2381783336,211.345,9,99000
pca_all_046,13953872600,222.094,29,580000
pca_all_047,7217520600,218.382,25,300000
pca_all_048,13256180136,223.908,29,551000
pca_all_049,3199768936,253.717,7,133000
pca_all_050,1226980136,231.835,3,51000
pca_all_051,35654549400,233.54,78,1482000
pca_all_052,9094075800,269.963,21,378000
pca_all_053,7217520600,211.42,15,300000
pca_all_054,6399535000,230.764,19,266000
pca_all_055,2309607000,273.637,6,96000
pca_all_056,9142192600,244.698,19,380000
pca_all_057,10778163800,200.569,28,448000
pca_all_058,1154803800,208.4,4,48000
pca_all_059,4065871336,196.162,13,169000
pca_all_060,8227973400,234.47,18,342000
pca_all_061,21652560600,215.555,60,900000
pca_all_062,21652560600,249.309,50,900000
pca_all_063,17827276136,229.782,57,741000
pca_all_064,31757088600,264.297,66,1320000
pca_all_065,20569933736,222.199,57,855000
