Task_name,Input_data_size,Duration(s),maxExecutor,hibench.rf.examples
rf_64,20641554968,247.906,66,25800
rf_65,29282205128,326.04,57,36600
rf_66,15361156440,290.508,42,19200
rf_67,8160615848,229.751,36,10200
rf_68,24481843928,356.151,36,30600
rf_69,14401084200,755.92,10,18000
rf_70,7680578520,346.713,16,9600
rf_71,9600723000,916.364,6,12000
rf_72,7680578520,255.576,24,9600
rf_73,17761338248,399.671,24,22200
rf_74,9120688088,238.323,32,11400
rf_75,37922855288,419.826,72,47400
rf_76,7680578520,165.674,60,9600
rf_77,21601627208,343.59,33,27000
rf_78,11040832568,245.858,24,13800
rf_79,16321228680,320.029,24,20400
rf_80,10080760328,502.831,9,12600
rf_81,22561699448,240.471,80,28200
rf_82,24961878840,296.551,40,31200
rf_83,30242277368,371.948,48,37800
rf_84,9120688088,272.942,20,11400
rf_85,17761338248,210.901,72,22200
rf_86,19201445400,262.255,48,24000
rf_87,27362060648,323.274,52,34200
rf_88,23521771688,296.614,42,29400
rf_89,12000904808,372.15,18,15000
rf_90,12960977048,351.477,16,16200
rf_91,18721410488,323.141,33,23400
rf_92,17281300920,249.035,48,21600
rf_93,12480939720,224.645,52,15600
rf_94,27842095560,367.557,54,34800
rf_95,11040832568,433.791,12,13800
rf_96,24481843928,299.247,45,30600
rf_97,21121589880,238.329,40,26400
rf_98,13921049288,220.13,42,17400
rf_99,8160615848,360.494,12,10200
rf_100,13441011960,309.299,35,16800
rf_101,320024080600,1785.066,200,400000
rf_102,640048160600,2945.258,200,800000
rf_103,2400180600600,6746.14,1000,3000000
rf_104,4000301000600,8567.498,1000,5000000
rf_105,800060200600,3123.875,1000,1000000
rf_1,3840289560,533.631,3,4800
rf_2,48003612600,841.022,17,60000
rf_3,3840289560,405.812,4,4800
rf_4,16321228680,469.905,16,20400
rf_5,19201445400,372.354,18,24000
rf_6,19201445400,339.567,19,24000
rf_7,48003612600,499.092,50,60000
rf_8,6720506280,900.25,3,8400
rf_9,48003612600,498.991,49,60000
rf_10,11040832568,417.55,11,13800
rf_11,10080760328,376.33,11,12600
rf_12,10560795240,380.951,10,13200
rf_13,10560795240,322.088,11,13200
rf_14,12000904808,295.693,24,15000
rf_15,8160615848,1028.135,3,10200
rf_16,6720506280,902.116,3,8400
rf_17,12000904808,479.503,10,15000
rf_18,8640650760,193.34,23,10800
rf_19,7680578520,257.763,10,9600
rf_20,11520867480,429.518,11,14400
rf_21,9600723000,331.221,11,12000
rf_22,6240471368,240.622,10,7800
rf_23,9120688088,379.873,11,11400
rf_24,15841193768,279.491,24,19800
rf_25,7680578520,824.866,3,9600
rf_26,2400182408,280.572,3,3000
rf_27,10080760328,331.999,10,12600
rf_28,12960977048,277.662,23,16200
rf_29,5760434040,274.082,10,7200
rf_30,7680578520,313.251,11,9600
rf_31,28802167800,242.058,70,36000
rf_32,9600723000,282.449,23,12000
rf_33,14881121528,294.44,21,18600
rf_34,19681482728,328.801,27,24600
rf_35,9120688088,496.186,8,11400
rf_36,9120688088,275.637,15,11400
rf_37,15841193768,354.288,20,19800
rf_38,5280399128,452.696,4,6600
rf_39,8160615848,244.2,15,10200
rf_40,8640650760,275.961,19,10800
rf_41,9120688088,121.431,64,11400
rf_42,7680578520,287.46,14,9600
rf_43,14401084200,322.04,22,18000
rf_44,8640650760,484.083,9,10800
rf_45,11040832568,509.835,9,13800
rf_46,14881121528,254.017,29,18600
rf_47,18721410488,330.787,25,23400
rf_48,15361156440,317.81,29,19200
rf_49,10560795240,572.868,7,13200
rf_50,5280399128,836.295,3,6600
rf_51,38882927528,330.091,78,48600
rf_52,16321228680,335.577,21,20400
rf_53,10080760328,330.238,15,12600
rf_54,12960977048,378.684,19,16200
rf_55,7680578520,566.131,6,9600
rf_56,11520867480,466.236,19,14400
rf_57,8640650760,271.658,28,10800
rf_58,8160615848,960.064,4,10200
rf_59,9600723000,315.142,13,12000
rf_60,13441011960,391.873,18,16800
rf_61,34562601240,509.505,60,43200
rf_62,25921951080,404.633,50,32400
rf_63,24001806600,290.971,57,30000
rf_64,20641554968,236.595,66,25800
rf_65,29282205128,412.744,57,36600
rf_66,15361156440,294.378,42,19200
rf_67,8160615848,218.28,36,10200
rf_68,24481843928,347.435,36,30600
rf_69,14401084200,626.684,10,18000
rf_70,7680578520,280.928,16,9600
rf_71,9600723000,835.135,6,12000
rf_72,7680578520,215.851,24,9600
rf_73,17761338248,344.735,24,22200
rf_74,9120688088,205.076,32,11400
rf_75,37922855288,315.993,72,47400
rf_76,7680578520,171.013,60,9600
rf_77,21601627208,261.039,33,27000
rf_78,11040832568,338.435,24,13800
rf_79,16321228680,317.813,24,20400
rf_80,10080760328,562.303,9,12600
rf_81,22561699448,199.27,80,28200
rf_82,24961878840,302.982,40,31200
rf_83,30242277368,311.953,48,37800
rf_84,9120688088,248.125,20,11400
rf_85,17761338248,231.907,72,22200
rf_86,19201445400,242.958,48,24000
rf_87,27362060648,314.873,52,34200
rf_88,23521771688,340.964,42,29400
rf_89,12000904808,312.098,18,15000
rf_90,12960977048,423.464,16,16200
rf_91,18721410488,277.302,33,23400
rf_92,17281300920,236.078,48,21600
rf_93,12480939720,179.327,52,15600
rf_94,27842095560,251.054,54,34800
rf_95,11040832568,464.867,12,13800
rf_96,24481843928,313.479,45,30600
rf_97,21121589880,287.295,40,26400
rf_98,13921049288,262.381,42,17400
rf_99,8160615848,375.875,12,10200
rf_100,13441011960,229.801,35,16800
rf_101,320024080600,1353.076,200,400000
rf_102,640048160600,2254.656,200,800000
rf_103,2400180600600,5836.847,1000,3000000
rf_104,4000301000600,7158.552,1000,5000000
rf_105,800060200600,2940.557,1000,1000000
rf_1,3840289560,529.571,3,4800
rf_2,48003612600,816.598,17,60000
rf_3,3840289560,453.783,4,4800
rf_4,16321228680,430.886,16,20400
rf_5,19201445400,477.116,18,24000
rf_6,19201445400,390.655,19,24000
rf_7,48003612600,426.491,50,60000
rf_8,6720506280,1035.586,3,8400
rf_9,48003612600,446.814,49,60000
rf_10,11040832568,448.883,11,13800
rf_11,10080760328,392.477,11,12600
rf_12,10560795240,450.079,10,13200
rf_13,10560795240,398.591,11,13200
rf_14,12000904808,307.957,24,15000
rf_15,8160615848,939.924,3,10200
rf_16,6720506280,938.248,3,8400
