Task_name,Input_data_size,Duration(s),maxExecutor,hibench.pagerank.pages
pagerank_39,449788967,111.631,15,850000
pagerank_40,476978293,104.329,19,900000
pagerank_41,504218743,112.606,64,950000
pagerank_42,422625339,86.732,14,800000
pagerank_43,836736090,118.319,22,1500000
pagerank_44,476978293,120.768,9,900000
pagerank_45,623044633,112.479,9,1150000
pagerank_46,867330239,155.072,29,1550000
pagerank_47,1111978314,108.387,25,1950000
pagerank_48,897906006,111.704,29,1600000
pagerank_49,592523521,120.003,7,1100000
pagerank_50,286965088,121.384,3,550000
pagerank_51,2405573887,132.369,78,4050000
pagerank_52,959058976,117.881,21,1700000
pagerank_53,561991495,119.459,15,1050000
pagerank_54,745080459,131.963,19,1350000
pagerank_55,422625339,192.862,6,800000
pagerank_56,653546522,113.934,19,1200000
pagerank_57,476978293,120.903,28,900000
pagerank_58,449788967,141.623,4,850000
pagerank_59,531470496,95.978,13,1000000
pagerank_60,775643421,96.004,18,1400000
pagerank_61,2127332518,141.399,60,3600000
pagerank_62,1571474499,140.004,50,2700000
pagerank_63,1448808441,116.7,57,2500000
pagerank_64,1234457971,120.428,66,2150000
pagerank_65,1787316603,148.914,57,3050000
pagerank_66,897906006,108.902,42,1600000
pagerank_67,449788967,103.648,36,850000
pagerank_68,1479458389,132.21,36,2550000
pagerank_69,836736090,136.526,10,1500000
pagerank_70,422625339,131.561,16,800000
pagerank_71,531470496,174.841,6,1000000
pagerank_72,422625339,105.178,24,800000
pagerank_73,1050787566,123.907,24,1850000
pagerank_74,504218743,114.784,32,950000
pagerank_75,2343734984,160.689,72,3950000
pagerank_76,422625339,110.7,60,800000
pagerank_77,1295693713,127.524,33,2250000
pagerank_78,623044633,133.791,24,1150000
pagerank_79,959058976,193.094,24,1700000
pagerank_80,561991495,152.391,9,1050000
pagerank_81,1356917607,137.459,80,2350000
pagerank_82,1510132298,146.499,40,2600000
pagerank_83,1849104840,133.957,48,3150000
pagerank_84,504218743,142.969,20,950000
pagerank_85,1050787566,134.386,72,1850000
pagerank_86,1142586071,123.784,48,2000000
pagerank_87,1663779777,202.487,52,2850000
pagerank_88,1418173308,170.79,42,2450000
pagerank_89,684042396,127.885,18,1250000
pagerank_90,745080459,146.923,16,1350000
pagerank_91,1111978314,115.972,33,1950000
pagerank_92,1020218880,146.579,48,1800000
pagerank_93,714554184,119.877,52,1300000
pagerank_94,1694678479,154.366,54,2900000
pagerank_95,623044633,123.105,12,1150000
pagerank_96,1479458389,166.241,45,2550000
pagerank_97,1265071694,167.415,40,2200000
pagerank_98,806196275,120.344,42,1450000
pagerank_99,449788967,114.184,12,850000
pagerank_100,775643421,127.86,35,1400000
pagerank_101,2684009452,184.891,200,4500000
pagerank_102,2684009452,543.667,1000,4500000
pagerank_103,2374622163,601.265,5,4000000
pagerank_104,2374622163,340.52,10,4000000
pagerank_105,2374622163,248.314,15,4000000
pagerank_106,2374622163,216.56,20,4000000
pagerank_107,2374622163,222.126,25,4000000
pagerank_108,2374622163,211.583,30,4000000
pagerank_109,2374622163,163.435,35,4000000
pagerank_110,2374622163,163.349,40,4000000
pagerank_111,2374622163,136.65,45,4000000
pagerank_112,2374622163,154.801,50,4000000
pagerank_1,205926582,118.041,3,400000
pagerank_2,2993448066,280.159,17,5000000
pagerank_3,205926582,118.383,4,400000
pagerank_4,959058976,127.272,16,1700000
pagerank_5,1142586071,134.414,18,2000000
pagerank_6,1142586071,170.932,19,2000000
pagerank_7,2993448066,200.23,50,5000000
pagerank_8,368340469,206.275,3,700000
pagerank_9,2993448066,305.826,49,5000000
pagerank_10,623044633,124.306,11,1150000
pagerank_11,561991495,188.042,11,1050000
pagerank_12,592523521,431.832,10,1100000
pagerank_13,592523521,98.757,11,1100000
pagerank_14,684042396,109.784,24,1250000
pagerank_15,449788967,225.377,3,850000
pagerank_16,368340469,171.016,3,700000
pagerank_17,684042396,132.065,10,1250000
pagerank_18,476978293,109.796,23,900000
pagerank_19,422625339,111.366,10,800000
pagerank_20,653546522,102.292,11,1200000
pagerank_21,531470496,123.073,11,1000000
pagerank_22,341199485,114.286,10,650000
pagerank_23,504218743,126.351,11,950000
pagerank_24,928486613,155.989,24,1650000
pagerank_25,422625339,168.508,3,800000
pagerank_26,125209992,120.654,3,250000
pagerank_27,561991495,128.129,10,1050000
pagerank_28,745080459,146.225,23,1350000
pagerank_29,314078848,79.681,10,600000
pagerank_30,422625339,96.949,11,800000
