Task_name,Input_data_size,Duration(s),maxExecutor,hibench.summarizer.examples
summarizer_119,44003685600,67.561,20,110000
summarizer_120,52004355600,80.907,20,130000
summarizer_121,60005025600,77.486,20,150000
summarizer_122,68005695600,86.13,20,170000
summarizer_123,76006365600,91.179,20,190000
summarizer_124,84007035600,102.624,20,210000
summarizer_125,92007705600,97.956,20,230000
summarizer_126,60005025600,205.428,5,150000
summarizer_127,60005025600,126.359,10,150000
summarizer_128,60005025600,106.843,15,150000
summarizer_129,60005025600,77.418,20,150000
summarizer_130,60005025600,81.487,25,150000
summarizer_131,60005025600,60.862,30,150000
summarizer_132,60005025600,54.948,35,150000
summarizer_133,60005025600,55.908,40,150000
summarizer_134,60005025600,69.275,45,150000
summarizer_135,60005025600,51.389,50,150000
