Task_name,Input_data_size,Duration(s),maxExecutor,hibench.summarizer.examples
summarizer_30,19201608600,61.291,11,48000
summarizer_31,72006030600,53.365,70,180000
summarizer_32,24002010600,47.961,23,60000
summarizer_33,37203116800,60.192,21,93000
summarizer_34,49204121800,64.453,27,123000
summarizer_35,22801910800,75.281,8,57000
summarizer_36,22801910800,57.903,15,57000
summarizer_37,39603317800,77.644,20,99000
summarizer_38,13201106800,76.572,4,33000
summarizer_39,20401709800,56.915,15,51000
summarizer_40,21601809600,67.325,19,54000
summarizer_41,22801910800,54.456,64,57000
summarizer_42,19201608600,61.28,14,48000
summarizer_43,36003015600,69.275,22,90000
summarizer_44,21601809600,70.827,9,54000
summarizer_45,27602312800,79.393,9,69000
summarizer_46,37203116800,53.792,29,93000
summarizer_47,46803920800,61.201,25,117000
summarizer_48,38403216600,52.632,29,96000
summarizer_49,26402211600,84.697,7,66000
summarizer_50,13201106800,119.065,3,33000
summarizer_51,97208141800,64.037,78,243000
summarizer_52,40803417600,57.479,21,102000
summarizer_53,25202111800,50.658,15,63000
summarizer_54,32402714800,64.691,19,81000
summarizer_55,19201608600,76.418,6,48000
summarizer_56,28802412600,57.55,19,72000
summarizer_57,21601809600,47.179,28,54000
summarizer_58,20401709800,89.491,4,51000
summarizer_59,24002010600,59.439,13,60000
summarizer_60,33602814600,65.903,18,84000
summarizer_61,86407236600,66.251,60,216000
summarizer_62,64805427600,61.883,50,162000
summarizer_63,60005025600,51.29,57,150000
summarizer_64,51604322800,50.766,66,129000
summarizer_65,73206131800,75.841,57,183000
summarizer_66,38403216600,103.452,42,96000
summarizer_67,20401709800,42.876,36,51000
summarizer_68,61205126800,66.569,36,153000
summarizer_69,36003015600,88.81,10,90000
summarizer_70,19201608600,54.731,16,48000
summarizer_71,24002010600,73.03,6,60000
summarizer_72,19201608600,49.455,24,48000
summarizer_73,44403719800,61.761,24,111000
summarizer_74,22801910800,42.515,32,57000
summarizer_75,94807940800,53.33,72,237000
summarizer_76,19201608600,40.786,60,48000
summarizer_77,54004523800,58.35,33,135000
summarizer_78,27602312800,52.702,24,69000
summarizer_79,40803417600,62.363,24,102000
summarizer_80,25202111800,71.724,9,63000
summarizer_81,56404724800,54.064,80,141000
summarizer_82,62405226600,70.996,40,156000
summarizer_83,75606332800,61.254,48,189000
summarizer_84,22801910800,51.691,20,57000
summarizer_85,44403719800,55.672,72,111000
summarizer_86,48004020600,63.17,48,120000
summarizer_87,68405729800,64.699,52,171000
summarizer_88,58804925800,66.13,42,147000
summarizer_89,30002513800,65.44,18,75000
summarizer_90,32402714800,68.007,16,81000
summarizer_91,46803920800,65.237,33,117000
summarizer_92,43203618600,52.558,48,108000
summarizer_93,31202613600,52.435,52,78000
summarizer_94,69605829600,72.437,54,174000
summarizer_95,27602312800,57.384,12,69000
summarizer_96,61205126800,56.758,45,153000
summarizer_97,52804422600,59.182,40,132000
summarizer_98,34802915800,52.946,42,87000
summarizer_99,20401709800,53.697,12,51000
summarizer_100,33602814600,48.614,35,84000
summarizer_101,180015075600,81.24,200,450000
summarizer_102,180015075600,75.667,200,450000
summarizer_103,180015075600,83.984,1000,450000
summarizer_104,180015075600,65.612,1000,450000
summarizer_105,180015075600,82.352,1000,450000
summarizer_106,12005025600,34.866,20,150000
summarizer_107,24005025600,43.577,20,150000
summarizer_108,36005025600,57.928,20,150000
summarizer_109,48005025600,85.331,20,150000
summarizer_110,60005025600,81.423,20,150000
summarizer_111,72005025600,104.72,20,150000
summarizer_112,84005025600,114.412,20,150000
summarizer_113,96005025600,151.127,20,150000
summarizer_114,108005025600,149.263,20,150000
summarizer_115,120005025600,211.68,20,150000
summarizer_116,20001675600,63.125,20,50000
summarizer_117,28002345600,60.682,20,70000
summarizer_118,36003015600,69.518,20,90000
summarizer_119,44003685600,66.569,20,110000
summarizer_120,52004355600,79.036,20,130000
summarizer_121,60005025600,88.878,20,150000
summarizer_122,68005695600,98.287,20,170000
summarizer_123,76006365600,84.43,20,190000
summarizer_124,84007035600,86.79,20,210000
summarizer_125,92007705600,78.585,20,230000
summarizer_126,60005025600,207.072,5,150000
summarizer_127,60005025600,108.014,10,150000
summarizer_128,60005025600,102.179,15,150000
summarizer_129,60005025600,85.219,20,150000
summarizer_130,60005025600,86.94,25,150000
summarizer_131,60005025600,67.294,30,150000
summarizer_132,60005025600,58.512,35,150000
summarizer_133,60005025600,98.857,40,150000
summarizer_134,60005025600,68.059,45,150000
summarizer_135,60005025600,76.854,50,150000
summarizer_1,9600804600,63.509,3,24000
summarizer_2,120010050600,119.046,17,300000
summarizer_3,9600804600,58.931,4,24000
summarizer_4,40803417600,70.531,16,102000
summarizer_5,48004020600,72.0,18,120000
summarizer_6,48004020600,72.162,19,120000
summarizer_7,120010050600,71.977,50,300000
summarizer_8,16801407600,138.576,3,42000
summarizer_9,120010050600,112.409,49,300000
summarizer_10,27602312800,77.328,11,69000
summarizer_11,25202111800,63.722,11,63000
summarizer_12,26402211600,82.45,10,66000
summarizer_13,26402211600,79.541,11,66000
summarizer_14,30002513800,70.749,24,75000
summarizer_15,20401709800,139.498,3,51000
summarizer_16,16801407600,119.006,3,42000
summarizer_17,30002513800,57.295,10,75000
summarizer_18,21601809600,50.103,23,54000
summarizer_19,19201608600,63.552,10,48000
summarizer_20,28802412600,57.429,11,72000
summarizer_21,24002010600,70.419,11,60000
summarizer_22,15601307800,63.137,10,39000
summarizer_23,22801910800,59.765,11,57000
summarizer_24,39603317800,56.258,24,99000
summarizer_25,19201608600,102.166,3,48000
summarizer_26,6000503800,53.489,3,15000
summarizer_27,25202111800,77.984,10,63000
summarizer_28,32402714800,70.736,23,81000
summarizer_29,14401206600,46.304,10,36000
summarizer_30,19201608600,60.18,11,48000
summarizer_31,72006030600,62.661,70,180000
summarizer_32,24002010600,50.019,23,60000
summarizer_33,37203116800,74.688,21,93000
summarizer_34,49204121800,96.346,27,123000
summarizer_35,22801910800,74.282,8,57000
summarizer_36,22801910800,65.596,15,57000
summarizer_37,39603317800,72.439,20,99000
summarizer_38,13201106800,83.516,4,33000
summarizer_39,20401709800,44.147,15,51000
summarizer_40,21601809600,54.467,19,54000
summarizer_41,22801910800,48.189,64,57000
summarizer_42,19201608600,55.613,14,48000
summarizer_43,36003015600,63.494,22,90000
summarizer_44,21601809600,68.3,9,54000
summarizer_45,27602312800,73.107,9,69000
summarizer_46,37203116800,47.931,29,93000
summarizer_47,46803920800,61.27,25,117000
summarizer_48,38403216600,61.381,29,96000
summarizer_49,26402211600,83.341,7,66000
summarizer_50,13201106800,90.013,3,33000
summarizer_51,97208141800,75.178,78,243000
summarizer_52,40803417600,65.018,21,102000
