Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_26,1004098941,132.659,3,5000000
gmm_27,5020481226,207.144,10,21000000
gmm_28,6024576776,123.767,23,27000000
gmm_29,3012290081,134.699,10,12000000
gmm_30,4016385590,162.242,11,16000000
gmm_31,12049150118,84.383,70,60000000
gmm_32,4016385682,122.771,23,20000000
gmm_33,7028672285,177.231,21,31000000
gmm_34,9036863489,166.687,27,41000000
gmm_35,4016385594,172.076,8,19000000
gmm_36,4016385562,109.645,15,19000000
gmm_37,7028672362,157.621,20,33000000
gmm_38,3012290063,278.731,4,11000000
gmm_39,4016385618,122.503,15,17000000
gmm_40,4016385622,101.032,19,18000000
gmm_41,4016385634,134.804,64,19000000
gmm_42,4016385626,108.615,14,16000000
gmm_43,6024576776,106.854,22,30000000
gmm_44,4016385606,163.607,9,18000000
gmm_45,5020481186,256.758,9,23000000
gmm_46,7028672376,93.507,29,31000000
gmm_47,8032767794,125.897,25,39000000
gmm_48,7028672348,145.805,29,32000000
gmm_49,5020481146,191.576,7,22000000
gmm_50,3012290042,274.23,3,11000000
gmm_51,17069627719,107.516,78,81000000
gmm_52,7028672285,116.962,21,34000000
gmm_53,5020481206,168.018,15,21000000
gmm_54,6024576746,143.709,19,27000000
gmm_55,4016385574,239.789,6,16000000
gmm_56,5020481181,109.884,19,24000000
gmm_57,4016385626,96.515,28,18000000
gmm_58,4016385674,245.773,4,17000000
gmm_59,4016385602,115.074,13,20000000
gmm_60,6024576812,133.551,18,28000000
gmm_61,15061436801,131.685,60,72000000
gmm_62,11045054425,100.227,50,54000000
gmm_63,10040959186,89.863,57,50000000
gmm_64,9036863471,99.211,66,43000000
gmm_65,13053245705,105.377,57,61000000
gmm_66,7028672341,74.945,42,32000000
gmm_67,4016385638,105.512,36,17000000
gmm_68,11045054612,114.647,36,51000000
gmm_69,6024576728,248.35,10,30000000
gmm_70,4016385582,101.498,16,16000000
gmm_71,4016385650,231.533,6,20000000
gmm_72,4016385618,97.038,24,16000000
gmm_73,8032767826,113.669,24,37000000
gmm_74,4016385638,105.793,32,19000000
gmm_75,16065532394,115.85,72,79000000
gmm_76,4016385618,116.468,60,16000000
gmm_77,9036863444,114.027,33,45000000
gmm_78,5020481136,100.102,24,23000000
gmm_79,7028672285,142.486,24,34000000
gmm_80,5020481191,182.573,9,21000000
gmm_81,10040958976,100.602,80,47000000
gmm_82,11045054513,144.552,40,52000000
gmm_83,13053245783,142.363,48,63000000
gmm_84,4016385566,109.901,20,19000000
gmm_85,8032767802,99.591,72,37000000
gmm_86,8032767786,115.625,48,40000000
gmm_87,12049150058,135.729,52,57000000
gmm_88,10040958946,110.196,42,49000000
gmm_89,5020481221,114.988,18,25000000
gmm_90,6024576698,131.788,16,27000000
gmm_91,8032767890,130.976,33,39000000
gmm_92,8032767930,104.065,48,36000000
gmm_93,6024576776,94.955,52,26000000
gmm_94,12049149962,93.21,54,58000000
gmm_95,5020481191,179.464,12,23000000
gmm_96,11045054623,113.373,45,51000000
gmm_97,9036863480,102.384,40,44000000
gmm_98,6024576782,98.892,42,29000000
gmm_99,4016385598,138.663,12,17000000
gmm_100,6024576734,105.687,35,28000000
gmm_101,15061436921,144.833,200,75000000
gmm_102,30122870486,135.162,200,150000000
gmm_103,15061436846,154.945,1000,75000000
gmm_104,30122870276,147.026,1000,150000000
gmm_105,45184303676,167.374,1000,225000000
gmm_106,2008194486,73.486,20,10000000
gmm_107,4016385702,98.039,20,20000000
gmm_108,6024576830,138.538,20,30000000
gmm_109,8032767818,138.379,20,40000000
gmm_110,10040958886,238.402,20,50000000
gmm_111,12049150022,202.953,20,60000000
gmm_112,14057341310,227.864,20,70000000
gmm_113,16065532458,287.206,20,80000000
gmm_114,18073723520,293.911,20,90000000
gmm_115,20081914626,344.023,20,100000000
gmm_116,6024576728,479.951,5,30000000
gmm_117,6024576722,192.108,10,30000000
gmm_118,6024576668,149.056,15,30000000
gmm_119,6024576806,114.603,20,30000000
gmm_120,6024576734,103.573,25,30000000
gmm_121,6024576746,102.777,30,30000000
